"","beta","gamma","mu","Area","Wave"
"1","0.26","0.04","0.0029","Poland","1"
"2","0.18","0.04","0.0014","Poland","2"
"3","0.22","0.03","9e-04","Poland","3"
"4","0.28","0.04","0.0042","Mazowieckie","1"
"5","1","0.96","0.9558","Mazowieckie","2"
"6","0.19","0.01","8e-04","Mazowieckie","3"
